smiles,source
CN1CC[N]2(Cc3ccc4C[N]56->[Y+3]<-2(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)(<-[n-]34)<-[N](C)(CC5)CC6)CC1,tmqm
CCc1cccc(CC)c1NC1=[O]->[Y+3]23(<-[O]=C(Nc4c(CC)cccc4CC)C4CC5CCCC5[N+]4(CCC[N+]4([O-]->2)C1CC1CCCC14)[O-]->3)(<-[O-]S(=O)(=O)C(F)(F)F)(<-[O-]S(=O)(=O)C(F)(F)F)(<-[OH]C)<-[OH]C,platinai
Cc1ccc(C(C)C)cc1.[Cl-].[O-]/C(=N\N=C/c1cccs1)c1ccc(Br)cc1,tmqm
COP(OC)OC.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm
[Cl-].[O-]/C(=N\N=C/c1cccs1)c1ccc(Br)cc1.c1ccccc1,platinai
CC1(C)CC(C)(C)c2n[n]3->[Y+3]45678(<-[O-][N+](=O)[O-]->4)(<-[O-][N+](=O)[O-]->5)(<-[O-][N+](=O)[O-]->6)<-[n]4nc5c(nc4-c4ccc6ccc9ccc(-c3nc21)[n]->7c9c6[n]->84)C(C)(C)CC5(C)C,platinai
CC[SiH](CC)[CH]1=[Si](C)[N-]([Si](C)(C)C)->[Y+3]<-123(<-[n]1c(C)cc(C)n1[BH-](n1c(C)cc(C)[n]->21)n1c(C)cc(C)[n]->31)<-[O]1CCCC1.[CH3-],tmqm
C1N2CN3CN1CP(C2)C3.CP(C)c1ccccc1.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1,platinai
Cc1cc(C(C)(C)C)[n]2->[Y+3]3(<-[CH3-])(<-[PH-]c4c(C(C)C)cccc4C(C)C)<-[n]4c(C(C)(C)C)cc(C)n4[BH-](n12)n1c(C)cc(C(C)(C)C)[n]->31,tmqm
[Cl-].[O-]/C(=N\N=C/c1cccs1)c1ccccc1.c1ccccc1,tmqm
O=C1[O-]->[Pt+2]2(<-[NH2][C@@H]3CCCC[C@H]3[NH2]->2)<-[O-]C1=O,tmqm
[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc2[nH]cnc2c1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm
[OH-]->[Pt+4](<-[OH-])(<-[OH-])(<-[OH-])(<-[OH2])<-[OH2],metal_cytotox
Cc1ccc([B-]23c4cccc5[B-]6(c7ccc(C)cc7)n7ccc[n]7->[Sc+3](<-[n]45)(<-[n]4cccn42)(<-[n]2cccn23)(<-[n]2cccn26)<-[O]2CCCC2)cc1,tmqm
C=C[O-]->[Y+3]12(<-[N](=C(N(Cc3ccccc3)Cc3ccccc3)[N-]->1c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C)(<-[N](=C(Cc1ccccc1N(C)C)[N-]->2C(C)C)C(C)C)<-[O]1CCCC1,tmqm
O=C1[O-]->[Pt+2]2(<-[NH2]C3CCCC3[NH2]->2)<-[O-]C(=O)c2c1cccc2[N+](=O)[O-],tmqm
CC1=CC(C)=[N](c2c(C(C)C)cccc2C(C)C)->[YH+2](<-[C-](=[SiH]c2ccccc2)[SiH2]c2ccccc2)(<-[N](=[Si](C)C)[Si](C)(C)C)<-[N-]1c1c(C(C)C)cccc1C(C)C,tmqm
[Cl-].[Cl-].c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,metal_cytotox
[C-]#[N+]CP(=O)(OCC)OCC.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm
COc1ccc(/C([O-])=N/N=C\c2c3ccccc3cc3ccccc23)cc1.[Cl-].c1ccccc1,tmqm
C[c]12->[Sc+3]34567(<-[CH2-]c8ccccc8[N]->3(C)C)(<-[CH2-]c3ccccc3[N]->4(C)C)<-[c]13[c]->5([c-]->6(C)[c]->72[Si](C)(C)C)CCCC3,platinai
[Cl-].[O-]/C(=N\N=C/c1c2ccccc2cc2ccccc12)c1ccc(Cl)cc1.c1ccccc1,tmqm
CCCCC1=[N](C(C)C)->[Sc+3]23456(<-[O-]N=NC(c7ccccc7)=[C-]->2c2ccccc2)(<-[N-]1C(C)C)<-[c]1(C)[c]->3(C)[c]->4(C)[c-]->5(C)[c]->61C,platinai
Cc1cc(C)[n]2->[Y+3]34(<-[S-][Si](C)(C)[N-]->3[Si](C)(C)C)(<-[n]3c(C)cc(C)n3[BH-](n12)n1c(C)cc(C)[n]->41)<-[O]1CCCC1,tmqm
Cc1c[c]23->[Sc+3]4567(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)<-[n]8cccc9cccc(-[c-]->4([c]->5(C)[c]->62C)[c]->73s1)c98,tmqm
[C-]#[N+]C1CCCCC1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,platinai
CCCCCCCCCCCCCC(=O)[O-]->[Pt+2]1(<-[NH2][C@@H]2CCCC[C@H]2[NH2]->1)<-[O-]C(=O)CCCCCCCCCCCCC,platinai
C[Si](C)(C)[N]1=C2C=CC=CC2=[N]2c3ccccc3[N-]([Si](C)(C)C)->[Y+]<-2<-1(<-[O]1CCCC1)(<-[O]1CCCC1)<-[O]1CCCC1,tmqm
Cc1ccnc2c1ccc1c(C)ccnc12.Cc1ccnc2c1ccc1c(C)ccnc12.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,tmqm
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc([O-])c12.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,tmqm
Cn1ccnc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm
COc1ccc(/C([O-])=N/N=C\c2cccs2)cc1.Cc1ccc(C(C)C)cc1.[Cl-],tmqm
COc1ccc(/C([O-])=N/N=C\C2=CNC3C=CC=CC23)cc1.[Cl-].c1ccccc1,tmqm
C[N]12->[Y+3]3(<-[CH3-])(<-[CH3-])(<-[O-]S(=O)(=O)C(F)(F)F)<-[N](C)(CC1)CC[N]->3(C)CC2,tmqm
CN1CCCC1=[O]->[Y+21]123(<-[O]=C4CCCN4C)(<-[O]=C4CCCN4C)(<-[O-]c4c(N([O-])[O-])cc(N([O-])[O-])cc4N([O-])[O-]->1)(<-[O-]c1c(N([O-])[O-])cc(N([O-])[O-])cc1N([O-])[O-]->2)<-[O-]c1c(N([O-])[O-])cc(N([O-])[O-])cc1N([O-])[O-]->3,tmqm
C=C[O-]->[Y+3]1234(<-[CH2-][c]->15cccc[c]->25[N]->3(C)C)(<-[N](=C(N(Cc1ccccc1)Cc1ccccc1)[N-]->4c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C)<-[O]1CCCC1,tmqm
CC#N.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm
Cc1ccc(C(C)C)cc1.[Cl-].[O-]/C(=N\N=C/c1c2ccccc2cc2ccccc12)c1ccccc1,platinai
CC(C)(C)c1cccc(C(C)(C)C)c1[O-]->[Sc+3]1(<-[O-]c2c(C(C)(C)C)cccc2C(C)(C)C)<-[S-]P(c2ccccc2)(c2ccccc2)=[N]->1C(C)(C)C,tmqm
O=C([O-]->[Pt+2]1(<-[NH2]C2CCCCC2[NH2]->1)<-[O-]C(=O)c1cccc(F)c1)c1cccc(F)c1,tmqm
Cc1ccnc(-c2cc(C)ccn2)c1.Cc1ccnc(-c2cc(C)ccn2)c1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,tmqm
[c-]1ccccc1-c1ccccn1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1,platinai
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,tmqm
CC1(C)CCC(C)(C)c2c[c]34->[Y+]5678(<-[CH][Si](C)(C)C)(<-[CH][Si](C)(C)C)(<-[n]9ccccc9C[c]->5([c]->63cc21)[c]->71cc2c(c[c-]->814)C(C)(C)CCC2(C)C)<-[O]1CCCC1,tmqm
CC1=CC(C)=[N](c2ccc(F)cc2)->[Sc+3](<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)(<-[N-]1c1ccc(F)cc1)<-[O]1CCCC1,tmqm
Cc1c(C)n(C(C)C)c(=[N]2CC[c-]34->[Sc+3]<-2567(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)<-[c]2(cccc[c]->523)[c]->62cccc[c]->724)n1C(C)C,tmqm
C[Si](C)(C)[CH2-]->[Y+3]12345(<-[CH2-][Si](C)(C)C)<-[c]6(CC[N]->17CCCC7)[c]->21cccc[c]->31[c-]->41cccc[c]->561,tmqm
Cc1ccc2cccc([O-]->[Sc+3]34(<-[O-]c5cccc6ccc(C)[nH+]c56)(<-[O-]c5cccc6ccc(C)[n]->3c56)<-[O-]c3cccc5ccc(C)[n]->4c35)c2n1,tmqm
c1cc[n]2->[Pt]3(<-[NH2]CC[NH2]->3)<-[n]3ccccc3-c2c1,platinai
COc1ccc(/C([O-])=N/N=C\c2c3ccccc3cc3ccccc23)cc1.Cc1ccc(C(C)C)cc1.[Cl-],platinai
Cc1cc(C)c(O)c(C[N]23->[Y+3]45678<-[O-]c9c(C)cc(C)cc9C[N]->4(CC2)CC[N]->5(Cc2cc(C)cc(C)c2[O-]->6)CC[N]->7(Cc2cc(C)cc(C)c2[O-]->8)CC3)c1,platinai
Cc1ccnc2c1ccc1c(C)ccnc12.Cc1ccnc2c1ccc1c(C)ccnc12.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,tmqm
Cc1ccc(C(C)C)cc1.[Cl-].[O-]/C(=N\N=C/c1cccs1)c1ccccc1,tmqm
[Cl-].[O-]/C(=N\N=C/C1=CNC2C=CC=CC12)c1ccccc1.c1ccccc1,tmqm
O=C1C[NH+]2CCCN3CCN(CCC[NH+](CC(=O)[O-]->[Y+3]456(<-[OH2])(<-[O-]1)(<-[O-][N+](=O)[O-]->4)(<-[O-][N+](=O)[O-]->5)<-[O-][N+](=O)[O-]->6)CC3)CC2,metal_cytotox
[Cl-]->[Y+3](<-[Cl-])(<-[n]1ccccc1)(<-[n]1ccccc1)(<-[n]1ccccc1)(<-[n]1ccccc1)<-[n]1ccccc1,tmqm
CC(C)[Si](C#Cc1c2ccccc2c(C2=CC=CC3=C4C=CC5c6cccc(-c7c8ccccc8c(C#C[Si](C(C)C)(C(C)C)C(C)C)c8ccccc78)[n]6->[Y+3](<-[N]=54)(<-[N-]23)(<-[n-]2ccc3ccccc32)<-[n-]2ccc3ccccc32)c2ccccc12)(C(C)C)C(C)C,tmqm
CSC(S)=NN=Cc1ccc([O-])cc1[O-].[C-]#[O+].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,tmqm
[OH2]->[Pt]1(<-[OH2])<-[NH2][C@@H]2CCCC[C@H]2[NH2]->1,tmqm
CN(C)C=[O]->[Sc+3](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[O]=CN(C)C)<-[O]=CN(C)C,tmqm
[BH3]->[Y-]1234(<-[BH3])(<-[cH]5[c]->1([Si](C)(C)C)[cH]->2[c-]->3([Si](C)(C)C)[c]->45[Si](C)(C)C)<-[O]1CCCC1.[H+].[H+],tmqm
[Cl-]->[Sc+3](<-[Cl-])(<-[Cl-])(<-[n]1ccccc1)(<-[n]1ccccc1)<-[n]1ccccc1,platinai
[Cl-].[O-]c1ccc2ccccc2c1CNCC1CCCCC1.c1ccccc1,platinai
[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm
COc1cc(/C=C/C(=O)/C=C([O-])/C=C/c2ccc(O)c(OC)c2)ccc1O.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,tmqm
COc1ccccc1[N]1=C([N-]2c3ccccc3[O](C)->[Y+3]<-1<-2345<-[N-](c1ccccc1[O]->3C)C(Cc1ccccc1N(C)C)([N-]->4c1ccccc1[O]->5C)C(C)(C)C)C(C)(C)C,platinai
CSC(S)=NN=Cc1ccc([O-])cc1[O-].[C-]#[O+].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,tmqm
Oc1cccnc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm
O=C1CC(=O)[O-]->[Pt+2]2(<-[NH2]CC[NH2]->2)<-[O-]1,tmqm
Cc1cc(C)cc([N-](C(C)(C)C)->[Sc+]234(<-[cH]5c6ccccc6[cH]->2[c]->32cccc[c]->452)<-[N-](c2cc(C)cc(C)c2)C(C)(C)C)c1,tmqm
C[Si](C)(C)[Si-]1([Si](C)(C)C)[Si](C)(C)[O]2[Si](C)(C)[Si-]([Si](C)(C)C)([Si](C)(C)C)->[Y+3]<-2<-13456789%10(<-[cH]1[cH]->3[cH]->4[cH-]->5[cH]->61)<-[cH]1[cH]->7[cH]->8[cH-]->9[cH]->%101,tmqm
CC(C)([O-]->[Sc+3]12345678(<-[c]9(C)[c]->1(C)[c]->2(C)[c-]->3(C)[c]->49C)<-[c]1(C)[c]->5(C)[c]->6(C)[c-]->7(C)[c]->81C)C(F)(F)F,tmqm
O=c1cc(-c2ccccc2)oc2cc(O)cc([O-])c12.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,tmqm
Cc1n(C)[c-](->[Sc+3](<-[N-]([Si](C)(C)C)[Si](C)(C)C)(<-[N-]([Si](C)(C)C)[Si](C)(C)C)<-[N-]([Si](C)(C)C)[Si](C)(C)C)c[n+]1C,tmqm
O=[N+]([O-])[O-]->[Pt+2]1(<-[NH2][C@@H]2CCCC[C@H]2[NH2]->1)<-[O-][N+](=O)[O-],tmqm
Cc1ccnc2c1ccc1c(C)ccnc12.Cc1ccnc2c1ccc1c(C)ccnc12.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,platinai
COc1ccc(/C([O-])=N/N=C\c2c3ccccc3cc3ccccc23)cc1.Cc1ccc(C(C)C)cc1.[Cl-],platinai
[BH3]->[YH+2]12(<-[N-](c3cc(C(C)(C)C)cc4c3[O]->1c1c([N-]->2c2c(C(C)C)cccc2C(C)C)cc(C(C)(C)C)cc1C4(C)C)c1c(C(C)C)cccc1C(C)C)(<-[O]1CCCC1)<-[O]1CCCC1,tmqm
C[Si](C)(C)[c-]12->[YH+6]3456789(<-[F-])(<-[cH]([cH]->3[cH]->41)[cH]->52)<-[cH]1[cH]->6[cH]->7[c-]->8([Si](C)(C)C)[cH]->91.[CH2-][B-](c1[c-]c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,tmqm
COc1ccc(/C([O-])=N/N=C\c2c3ccccc3cc3ccccc23)cc1.[Cl-].c1ccccc1,tmqm
O=CC(Br)=C(Br)C(=O)[O-]->[Pt+2]1(<-[NH2]C2CCCCC2[NH2]->1)<-[O-]C(=O)C(Br)=C(Br)C=O,metal_cytotox
C[OH]->[Y+3]123(<-[O-]c4c(O)c(Br)c(Br)c(Br)c4Br)(<-[O-]c4c(Br)c(Br)c(Br)c(Br)c4[O-]->1)(<-[n]1ccccc1-c1cccc[n]->21)<-[n]1ccccc1-c1cccc[n]->31,tmqm
CC1=C(CCC(=O)[O-])C2=[N]3->[Pt+2]45<-[N]6=C(C=c7c(CCC(=O)[O-])c(C)c([n]74)=C2)C(CCC(=O)[O-])=C(C)C6=Cc2c(C)c(CCC(=O)[O-])c([n]25)C=C13,tmqm
CCCC[O-]->[Y+3](<-[N-]([Si](C)(C)C)[Si](C)(C)C)(<-[N-]([Si](C)(C)C)[Si](C)(C)C)<-[N-]([Si](C)(C)C)[Si](C)(C)C,tmqm
c1ccc([N-](c2ccccc2)->[Y+3](<-[N-](c2ccccc2)c2ccccc2)(<-[N-](c2ccccc2)c2ccccc2)(<-[O]2CCCC2)<-[O]2CCCC2)cc1,tmqm
CC1=[N](C(C)C)->[Sc+]23456(<-[N]7=C(c8ccccc8)C(c8ccccc8)=NC7=[N]->2c2ccccc2)(<-[N-]1C(C)C)<-[c]1(C)[c]->3(C)[c]->4(C)[c-]->5(C)[c]->61C,tmqm
CC(C)[N]1=Cc2ccc[n-]2->[Y+3]<-123(<-[N](=Cc1ccc[n-]->21)C(C)C)<-[N](=Cc1ccc[n-]->31)C(C)C,platinai
O=c1cc(-c2ccccc2)oc2cc(O)cc([O-])c12.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,tmqm
[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc2[nH]cnc2c1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm
COc1cc(/C=C/C(=O)/C=C([O-])/C=C/c2ccc(O)c(OC)c2)ccc1O.c1ccc(-c2ccccn2)nc1.c1ccc2cc3nc4c5cccnc5c5ncccc5c4nc3cc2c1,tmqm
[Cl-].[O-]/C(=N\N=C/c1c2ccccc2cc2ccccc12)c1ccccc1.c1ccccc1,tmqm
CCCC[C]12=[N](C(C)C)->[Sc+]<-134567(<-[C](c1ccccc1)#[C]->3[Si](C)(C)C)(<-[N-]2C(C)C)<-[c]1(C)[c]->4(C)[c]->5(C)[c-]->6(C)[c]->71C,tmqm
Cc1ccc2[O-]->[Y+3]3456(<-[Br-])<-[O-]c7ccc(C)cc7C[N]->3(CC[N]->4(Cc2c1)Cc1ccc(F)c[n]->51)Cc1ccc(F)c[n]->61,platinai
C[Si](C)(C)[N]1=[C]2(c3ccccc3)[N-]([Si](C)(C)C)->[Sc+3]<-1<-2345<-[n]1ccccc1C[N]->3(CC[N-]->4[Si](C)(C)C)CC[N-]->5[Si](C)(C)C,tmqm
CN(C)C=[O]->[Y+3](<-[OH2])(<-[OH2])(<-[O]=CN(C)C)(<-[O]=CN(C)C)(<-[O-]S(=O)(=O)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1)(<-[O-]S(=O)(=O)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1)<-[O-]S(=O)(=O)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1,tmqm
CC(C)C1O[C@@H]2C[NH2]->[Pt+2]3(<-[NH2]C[C@H]2O1)<-[O-]C(=O)CC(=O)[O-]->3,tmqm
O[NH2]->[Pt](<-[NH2]O)(<-[NH2]O)<-[NH2]O,tmqm
Cc1occc(=O)c1[O-].c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,tmqm
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,platinai
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc([O-])c12.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,tmqm
[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,platinai
Cc1ccc(C(C)C)cc1.[Cl-].[O-]/C(=N\N=C/C1=CNC2C=CC=CC12)c1ccccc1,tmqm
CC(C)[N]1=C(N([Si](C)(C)C)[Si](C)(C)C)[N-](C(C)C)->[Y+3]<-123456(<-[cH]1c([B-](c7ccccc7)(c7ccccc7)c7ccccc7)[cH]->2[cH]->3[cH]->4[cH]->51)<-[N](=C(N([Si](C)(C)C)[Si](C)(C)C)[N-]->6C(C)C)C(C)C,tmqm
C[Si]1=[CH2]->[Y+3](<-[N-]1[Si](C)(C)C)(<-[N-]([Si](C)(C)C)[Si](C)(C)C)<-[N-]([Si](C)(C)C)[Si](C)(C)C.[CH3-],tmqm
CC12[N]3(->[Y+3]4(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)<-[N](C)(CC[N]->4(C)C1)C2)CCCC3,tmqm
[C-]#[N+]C1CCCCC1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm
C[N]12->[Y+3]3(<-[Cl-])(<-[Cl-])(<-[Cl-])<-[N](C)(CC1)CC[N]->3(C)CC2,tmqm
O=c1cc(-c2ccccc2)oc2cccc([O-])c12.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,tmqm
CC#N.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm
FC(F)(F)C([O-]->[Y+3](<-[O-]C(C(F)(F)F)C(F)(F)F)(<-[n]1ccccc1)(<-[n]1ccccc1)(<-[n]1ccccc1)(<-[n]1ccccc1)<-[n]1ccccc1)C(F)(F)F,tmqm
CC(C)c1cccc(C(C)C)c1N=Cc1cc(C(C)(C)C)cc2C=[N](c3c(C(C)C)cccc3C(C)C)->[Y+3]34(<-[O-]c12)(<-[c-]1ccccc1-c1cccc[n]->31)(<-[c-]1ccccc1-c1cccc[n]->41)<-[O]1CCCC1,tmqm
O=C1[CH]2=[CH](c3ccccc3)->[Pt]<-2345<-[CH](C(=O)[CH]2=[CH](c6ccccc6)->[Pt]<-267(<-[CH]1=[CH]->6c1ccccc1)<-[CH](C(=O)[CH]->3=[CH]->4c1ccccc1)=[CH]->7c1ccccc1)=[CH]->5c1ccccc1,tmqm
CC1=[N](C(C)C)->[Sc+]23456(<-[NH]=C(C(=[NH]->2)c2ccccc2)c2ccccc2)(<-[N-]1C(C)C)<-[c]1(C)[c]->3(C)[c]->4(C)[c-]->5(C)[c]->61C,platinai
Cc1cccc(C)c1[NH-]->[Sc+3]12(<-[NH-]c3c(C)cccc3C)<-[n-]3c(CN4CCN(C)CC4)ccc3C[N]->13CC[N]->2(C)CC3,tmqm
