reaction,smiles_a,smiles_b,yield,doi
ThiolEne,SCC(N)C(=O)O,C=CS(=O)(=O)C,0.93,10.1002/anie.200805657
ThiolEne,SCC(O)CO,C=CCOCC1CO1,0.84,10.1016/j.polymdegradstab.2014.01.013
ClickCuAAC_aryl_variant,[N-]=[N+]=Nc1ccc(F)cc1,C#CCOCC,0.84,10.1021/ol702601a
ClickCuAAC_aryl_variant,[N-]=[N+]=Nc1ccc(C(F)(F)F)cc1,C#Cc2ccc(Cl)cc2,0.88,10.1021/ol052296s
ClickCuAAC_aryl_variant,[N-]=[N+]=Nc1ccccc1,C#Cc2ccccc2,0.96,10.1002/chem.201000063
ClickCuAAC_aryl_variant,[N-]=[N+]=Nc1ncccn1,C#CC,0.92,10.1039/b704321a
ClickCuAAC_aryl_variant,[N-]=[N+]=Nc1c(F)c(F)c(F)c(F)c1F,C#Cc2ccccc2,0.9,10.1021/ja905619t
ClickCuAAC_aryl_variant,[N-]=[N+]=Nc1ccc(Cc2ccc[Fe]cc2)cc1,C#CC,0.95,10.1039/c0cc03940b
ClickCuAAC_aryl_variant,N(=[N+]=[N-])CCOCCOCCO,C#Cc3ccccc3,0.94,10.5012/bkcs.2010.31.10.2969
ClickCuAAC_aryl_variant,[N-]=[N+]=Nc1ccc(Cl)cc1,C#CCNC(=O)OCC,0.89,10.1021/jo302117b
ClickCuAAC_aryl_variant,N(=[N+]=[N-])CC1OC(CO)C(O)C(O)C1O,C#CCNC2=NC=NC3=C2N=CN3,0.86,10.1021/jo301526g
ClickCuAAC_aryl_variant,[N-]=[N+]=Nc1ccc(Br)cc1,C#Cc2ccc3oc(=O)ccc3c2,0.91,10.1021/acs.joc.5b00520
