smiles,source,metal,scaffold_id,cluster_id
CC1[O-]->[Pt+2]2(<-[NH2]C[C@@H]3CC[C@H]3C[NH2]->2)<-[O-]C1=O,platinai,Pt,C1CCC1,1
O=C1[O-]->[Pt+2]2(<-[NH2]CC(CO)(CO)C[NH2]->2)<-[O-]C(=O)C12CCC2,platinai,Pt,C1CCC1,1
[NH3]->[Pt+2]1(<-[NH3])<-[O-]C(=O)C2(C(=O)[O-]->1)CCC2,tmqm,Pt,C1CCC1,1
[NH3]->[Pt+2]1(<-[NH2]C2CCCC2)<-[O-]C(=O)CC(O)C(=O)[O-]->1,tmqm,Pt,C1CCCC1,1
O=C1[O-]->[Pt+2]2(<-[NH2][C@H]3CCCC[C@@H]3[NH2]->2)<-[O-]C1=O,tmqm,Pt,C1CCCCC1,1
CC1[CH-]C(C)=[O]->[Pt]2(<-[NH2]C3CCCCC3[NH2]->2)<-[O]=1,platinai,Pt,C1CCCCC1,1
O=[N+]([O-])[O-]->[Pt+2]1(<-[NH2][C@H]2CCCC[C@H]2[NH2]->1)<-[O-][N+](=O)[O-],tmqm,Pt,C1CCCCC1,1
O=S1(=O)[O-]->[Pt+2]2(<-[NH2][C@H]3CCCC[C@@H]3[NH2]->2)<-[O-]1,tmqm,Pt,C1CCCCC1,1
[NH3]->[Pt+2]1(<-[NH3])<-[O-]CC(=O)[O-]->1,platinai,Pt,,2
[OH-]->[Pt+4](<-[OH-])(<-[OH-])(<-[OH-])(<-[OH2])<-[OH2],metal_cytotox,Pt,,2
CN(C)C=[O]->[Sc+3](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[O]=CN(C)C)<-[O]=CN(C)C,tmqm,OTHER,,2
O=C1CC(=O)[O-]->[Pt+2]2(<-[NH2]CC[NH2]->2)<-[O-]1,tmqm,Pt,,2
CCCC[O-]->[Y+3](<-[N-]([Si](C)(C)C)[Si](C)(C)C)(<-[N-]([Si](C)(C)C)[Si](C)(C)C)<-[N-]([Si](C)(C)C)[Si](C)(C)C,tmqm,OTHER,,2
O[NH2]->[Pt](<-[NH2]O)(<-[NH2]O)<-[NH2]O,tmqm,Pt,,2
C[Si]1=[CH2]->[Y+3](<-[N-]1[Si](C)(C)C)(<-[N-]([Si](C)(C)C)[Si](C)(C)C)<-[N-]([Si](C)(C)C)[Si](C)(C)C.[CH3-],tmqm,OTHER,,2
[NH3]->[Pt+2](<-[NH3])(<-[NH3])(<-[NH3])(<-[OH-])<-[OH-],platinai,Pt,,2
[NH3]->[Pt+2](<-[NH3])(<-[NH3])(<-[NH3])<-[OH-],tmqm,Pt,,2
OCC[NH]1CC[NH2]->[Pt+2]<-12<-[NH2]CC[NH]->2CCO,tmqm,Pt,,2
[H-][Pt+2]([P](C)(C)[O-])([P](C)(C)[O-])[P](C)(C)[O-],tmqm,Pt,,2
C[O]1CC[O](C)->[Y+3]<-123(<-[Cl-])(<-[Cl-])<-[O]([Si](C)(C)[Si-]->2([Si](C)(C)C)[Si](C)(C)C)[Si](C)(C)[Si-]->3([Si](C)(C)C)[Si](C)(C)C,tmqm,OTHER,,2
O=[N+]([O-])[Pt+4](<-[O-]S(=O)(=O)[O-])(<-[O-]S(=O)(=O)[O-])[N+](=O)[O-],tmqm,Pt,,2
[NH3]->[Pt+2]1(<-[NH3])<-[O-]P(=O)([O-])C[N]->1(CP(=O)([O-])[O-])CP(=O)([O-])[O-],platinai,Pt,,2
[I-][Pt+4]([I-])([I-])([I-])([I-])[I-],platinai,Pt,,2
C[N]1(C)CC[N](C)(C)->[Y+3]<-1(<-[CH2-][Si](C)(C)C)(<-[CH2-][Si](C)(C)C)<-[CH2-][Si](C)(C)C,metal_cytotox,OTHER,,2
[OH2]->[Y+3](<-[OH2])(<-[OH2])(<-[OH2])(<-[OH2])(<-[N-]=C=S)(<-[N-]=C=S)<-[N-]=C=S,tmqm,OTHER,,2
[I-][Pt+2]1([I-])<-[NH2]CC[NH2]->1,tmqm,Pt,,2
O=[N+]([O-])[Pt+4]([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],platinai,Pt,,2
[OH][Pt]([OH])([OH])[OH],tmqm,Pt,,2
CC[O]1N=C([O-]->[Zr+4]<-1234(<-[O-]C(=N[O]->2CC)C(C)(C)C)(<-[O-]C(=N[O]->3CC)C(C)(C)C)<-[O-]C(=N[O]->4CC)C(C)(C)C)C(C)(C)C,tmqm,OTHER,,2
[I-][Pt+4]([I-])([I-])[I-],tmqm,Pt,,2
[OH2]->[Y+3]1234(<-[N-]=C=S)(<-[N-]=C=S)(<-[N-]=C=S)<-[OH]CC[O]->1CC[O]->2CC[O]->3CC[OH]->4,tmqm,OTHER,,2
CC#[N]->[Pt](<-[N]#CC)(<-[N]#CC)<-[N]#CC,tmqm,Pt,,2
[NH3]->[Pt+2](<-[NH3])([N+](=O)[O-])[N+](=O)[O-],tmqm,Pt,,2
[NH3]->[Pt+2](<-[NH3])(<-[O-]N=O)<-[O-]N=O,tmqm,Pt,,2
CC1[OH]->[Y+3]23(<-[OH2])(<-[OH2])(<-[O-]C1=O)(<-[O-]C(=O)C(C)[OH]->2)<-[O-]C(=O)C(C)[OH]->3,tmqm,OTHER,,2
[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cn[nH]c1.c1cnn(C(n2cccn2)n2cccn2)c1,platinai,Pt,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cn[nH]c1.c1cnn(C(n2cccn2)n2cccn2)c1,3
Oc1cccnc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,metal_cytotox,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccncc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[C-]#[N+]CP(=O)(OCC)OCC.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,platinai,Pt,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
COP(OC)OC.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[C-]#[N+]CP(=O)(OCC)OCC.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[C-]#[N+]C1CCCCC1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,platinai,Pt,C1CCCCC1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
Cn1ccnc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1c[nH]cn1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
CC#N.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
Oc1cccnc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccncc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,platinai,Pt,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[C-]#[N+]C1CCCCC1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,C1CCCCC1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
CC#N.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
Cn1ccnc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1c[nH]cn1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
Oc1cccnc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccncc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[C-]#[N+]CP(=O)(OCC)OCC.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[C-]#[N+]CP(=O)(OCC)OCC.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
COP(OC)OC.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
COP(OC)OC.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[C-]#[N+]C1CCCCC1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,C1CCCCC1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
Cn1ccnc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,platinai,Pt,c1c[nH]cn1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
COP(OC)OC.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cn[nH]c1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cn[nH]c1.c1cnn(C(n2cccn2)n2cccn2)c1,3
COP(OC)OC.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[C-]#[N+]C1CCCCC1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,C1CCCCC1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
Oc1cccnc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccncc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
Cn1ccnc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,platinai,Pt,c1c[nH]cn1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[C-]#[N+]CP(=O)(OCC)OCC.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cn[nH]c1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cn[nH]c1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cn[nH]c1.c1cnn(C(n2cccn2)n2cccn2)c1,platinai,Pt,c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cn[nH]c1.c1cnn(C(n2cccn2)n2cccn2)c1,3
[C-]#[N+]C1CCCCC1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,metal_cytotox,OTHER,C1CCCCC1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
Cn1ccnc1.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,tmqm,OTHER,c1c[nH]cn1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn(C(n2cccn2)n2cccn2)c1,3
c1cc2ccc3ccc[n]4->[Pt]5(<-[NH2]CC[NH2]->5)<-[n](c1)c2c34,tmqm,Pt,c1c[nH]c2c(c1)ccc1ccc[nH]c12,5
CCCCN(CCCC)C1=[O]->[Y+3]2345(<-[O]=C(c6ccc7ccc8ccc1[n]->2c8c7[n]->36)N(CCCC)CCCC)(<-[O-][N+](=O)[O-])(<-[O-][N+](=O)[O-]->4)<-[O-][N+](=O)[O-]->5,tmqm,OTHER,c1c[nH]c2c(c1)ccc1ccc[nH]c12,5
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(Nc2ccccn2)nc1.c1ccc(Nc2ccccn2)nc1,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(Nc2ccccn2)nc1.c1ccc(Nc2ccccn2)nc1,6
Cc1ccnc2c1ccc1c(C)ccnc12.Cc1ccnc2c1ccc1c(C)ccnc12.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,6
Cc1ccnc(-c2cc(C)ccn2)c1.Cc1ccnc(-c2cc(C)ccn2)c1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,6
[c-]1ccccc1-c1ccccn1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1,platinai,Pt,[c-]1ccccc1-c1ccccn1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1,6
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,6
Cc1ccnc2c1ccc1c(C)ccnc12.Cc1ccnc2c1ccc1c(C)ccnc12.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,6
Cc1ccnc2c1ccc1c(C)ccnc12.Cc1ccnc2c1ccc1c(C)ccnc12.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,platinai,Pt,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,6
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,platinai,Pt,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,6
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(Nc2ccccn2)nc1.c1ccc(Nc2ccccn2)nc1,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(Nc2ccccn2)nc1.c1ccc(Nc2ccccn2)nc1,6
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,6
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,6
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,6
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,6
Cc1ccnc(-c2cc(C)ccn2)c1.Cc1ccnc(-c2cc(C)ccn2)c1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,6
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,6
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,6
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,6
[c-]1ccccc1-c1ccccn1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1,tmqm,OTHER,[c-]1ccccc1-c1ccccn1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1,6
Cc1ccnc(-c2cc(C)ccn2)c1.Cc1ccnc(-c2cc(C)ccn2)c1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,platinai,Pt,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,6
[c-]1ccccc1-c1ccccn1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1,tmqm,OTHER,[c-]1ccccc1-c1ccccn1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1,6
[c-]1ccccc1-c1ccccn1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1,tmqm,OTHER,[c-]1ccccc1-c1ccccn1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1,6
[c-]1ccccc1-c1ccccn1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1,tmqm,OTHER,[c-]1ccccc1-c1ccccn1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1,6
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,platinai,Pt,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,6
Cc1ccnc2c1ccc1c(C)ccnc12.Cc1ccnc2c1ccc1c(C)ccnc12.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,6
Cc1ccnc(-c2cc(C)ccn2)c1.Cc1ccnc(-c2cc(C)ccn2)c1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,6
Cc1ccnc(-c2cc(C)ccn2)c1.Cc1ccnc(-c2cc(C)ccn2)c1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,6
c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1.c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,6
Cc1ccnc(-c2cc(C)ccn2)c1.Cc1ccnc(-c2cc(C)ccn2)c1.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,platinai,Pt,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,6
Cc1ccnc2c1ccc1c(C)ccnc12.Cc1ccnc2c1ccc1c(C)ccnc12.c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34,tmqm,OTHER,c1cc2ccc3cccc4c5nc(-c6cnccn6)nnc5c(c1)c2c34.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,6
